species,location,entrance.w
C.kentuckiensis,North.Fork,14.8
C.kentuckiensis,North.Fork,16.2
C.kentuckiensis,North.Fork,18.7
C.kentuckiensis,North.Fork,19.4
C.kentuckiensis,North.Fork,16.3
C.kentuckiensis,North.Fork,10.9
C.kentuckiensis,North.Fork,17.7
C.kentuckiensis,North.Fork,18.9
C.kentuckiensis,North.Fork,15.8
C.kentuckiensis,North.Fork,14.1
C.kentuckiensis,North.Fork,17.0
C.kentuckiensis,North.Fork,12.7
C.kentuckiensis,North.Fork,16.1
C.kentuckiensis,North.Fork,17.1
C.kentuckiensis,North.Fork,13.1
C.kentuckiensis,North.Fork,16.8
C.kentuckiensis,North.Fork,17.3
C.kentuckiensis,North.Fork,16.1
C.kentuckiensis,North.Fork,15.5
C.kentuckiensis,North.Fork,18.2
C.kentuckiensis,Big.Turn,16.6
C.kentuckiensis,Big.Turn,15.5
C.kentuckiensis,Big.Turn,16.1
C.kentuckiensis,Big.Turn,11.1
C.kentuckiensis,Big.Turn,14.2
C.kentuckiensis,Big.Turn,15.4
C.kentuckiensis,Big.Turn,17.5
C.kentuckiensis,Big.Turn,13.3
C.kentuckiensis,Big.Turn,16.9
C.kentuckiensis,Big.Turn,16.3
C.kentuckiensis,Big.Turn,15.9
C.kentuckiensis,Big.Turn,17.7
C.kentuckiensis,Big.Turn,12.0
C.kentuckiensis,Big.Turn,15.6
C.kentuckiensis,Big.Turn,16.3
C.kentuckiensis,Big.Turn,19.6
C.kentuckiensis,Big.Turn,20.3
C.kentuckiensis,Big.Turn,14.0
C.kentuckiensis,Big.Turn,15.9
C.kentuckiensis,Big.Turn,16.9
C.reginae,North.Fork,16.6
C.reginae,North.Fork,14.6
C.reginae,North.Fork,13.5
C.reginae,North.Fork,15.5
C.reginae,North.Fork,15.3
C.reginae,North.Fork,17.6
C.reginae,North.Fork,17.2
C.reginae,North.Fork,14.5
C.reginae,North.Fork,14.5
C.reginae,North.Fork,16.9
C.reginae,North.Fork,15.4
C.reginae,North.Fork,18.5
C.reginae,North.Fork,17.3
C.reginae,North.Fork,16.0
C.reginae,North.Fork,15.8
C.reginae,North.Fork,14.6
C.reginae,North.Fork,17.8
C.reginae,North.Fork,15.1
C.reginae,North.Fork,14.2
C.reginae,North.Fork,19.6
C.reginae,Big.Turn,19.8
C.reginae,Big.Turn,18.1
C.reginae,Big.Turn,18.5
C.reginae,Big.Turn,17.3
C.reginae,Big.Turn,17.7
C.reginae,Big.Turn,17.8
C.reginae,Big.Turn,20.0
C.reginae,Big.Turn,20.1
C.reginae,Big.Turn,18.3
C.reginae,Big.Turn,19.3
C.reginae,Big.Turn,20.4
C.reginae,Big.Turn,16.9
C.reginae,Big.Turn,17.7
C.reginae,Big.Turn,18.1
C.reginae,Big.Turn,21.2
C.reginae,Big.Turn,16.8
C.reginae,Big.Turn,23.0
C.reginae,Big.Turn,20.6
C.reginae,Big.Turn,18.9
C.reginae,Big.Turn,21.3
