Population      ,Fat_g
ArmP    ,9.4
ArmP    ,24.1
ArmP    ,10.1
ArmP    ,14.9
ArmP    ,11.7
ArmP    ,21.3
ArmP    ,7.8
ArmP    ,4.7
ArmP    ,25.9
ArmP    ,20.6
ArmP    ,14.1
ArmP   ,15
ArmP    ,28.9
ArmP    ,7.3
ArmP    ,27.6
ArmP   ,23.7
ArmP    ,9.2
ArmP   ,14
Lilos   ,6.3
Lilos   ,9
Lilos   ,9.3
Lilos   ,6.9
Lilos   ,5.7
Lilos   ,10
Lilos   ,5.9
Lilos   ,10
Lilos   ,6.7
Lilos   ,6.2
Lilos   ,7.7
Lilos   ,5.5
Lilos   ,7.1
Lilos   ,7.9
Lilos   ,7.7
Lilos   ,11.2
Lilos   ,3.4
Lilos   ,6.1
Lilos   ,6.6
Lilos   ,4.9
Lilos   ,7.5
Lilos   ,8.5
Lilos   ,4.9
Lilos   ,4.5
TerriaUp        ,25.9
TerriaUp        ,20.1
TerriaUp       ,8.3
TerriaUp        ,3.1
TerriaUp        ,22.1
TerriaUp        ,14.5
TerriaUp        ,24.1
TerriaUp        ,2.2
TerriaUp        ,6.7
TerriaUp        ,8.1
TerriaUp        ,26.6
TerriaUp        ,15.8
TerriaUp        ,10.8
TerriaUp        ,3.9
TerriaUp        ,4.1
TerriaUp        ,7.4
TerriaUp        ,4.1
TerriaUp       ,11.1
TerriaUp       ,8.8
TerriaUp       ,8.8
TerriaUp        ,8
