Greenhouse,Soil.mix,productivity
NE,high,10.75
NE,high,7.52
NE,high,8.91
NE,high,12.48
NE,high,9.3
NE,high,6.83
NE,high,6.7
NE,high,7.16
NE,high,10.22
NE,high,8.61
NE,high,6.65
NE,high,10.91
NE,high,8.25
NE,high,6.98
NE,high,10.35
NE,low,7.21
NE,low,4.54
NE,low,6.38
NE,low,3.41
NE,low,3.75
NE,low,4.25
NE,low,3.25
NE,low,4.42
NE,low,7.15
NE,low,2.05
NE,low,7.69
NE,low,3.88
NE,low,5.1
NE,low,7.73
NE,low,6.81
NE,med,4.77
NE,med,7.77
NE,med,3.27
NE,med,3.86
NE,med,7.87
NE,med,3.54
NE,med,3.39
NE,med,7.85
NE,med,8.66
NE,med,6.19
NE,med,6.82
NE,med,8.56
NE,med,6.55
NE,med,6.69
NE,med,6.66
NW,high,6.84
NW,high,6.41
NW,high,6.01
NW,high,6.67
NW,high,8.66
NW,high,4.91
NW,high,6.69
NW,high,7.66
NW,high,10.06
NW,high,9.16
NW,high,5.25
NW,high,8.32
NW,high,10.52
NW,high,5.02
NW,high,8.9
NW,low,6.97
NW,low,7.4
NW,low,4.95
NW,low,4.79
NW,low,3.87
NW,low,7.47
NW,low,4.76
NW,low,4.54
NW,low,5.58
NW,low,6.18
NW,low,7.21
NW,low,4.66
NW,low,7.47
NW,low,5.02
NW,low,7.32
NW,med,5.34
NW,med,9.09
NW,med,6.1
NW,med,6.56
NW,med,4.46
NW,med,9.64
NW,med,9.59
NW,med,9.58
NW,med,5.54
NW,med,9.82
NW,med,8.73
NW,med,5.32
NW,med,5.06
NW,med,7.32
NW,med,7.78
S,high,11.48
S,high,11.94
S,high,13.76
S,high,9.43
S,high,10.33
S,high,7.86
S,high,8.46
S,high,11.23
S,high,10.94
S,high,10.02
S,high,13.11
S,high,8.14
S,high,12.09
S,high,11.16
S,high,13.82
S,low,11.26
S,low,9.31
S,low,6.34
S,low,10.04
S,low,7.41
S,low,10.45
S,low,8.99
S,low,11.61
S,low,11.77
S,low,9.85
S,low,10.68
S,low,9.05
S,low,10.48
S,low,6.41
S,low,7.96
S,med,11.68
S,med,8.31
S,med,9.13
S,med,9.87
S,med,6.53
S,med,7.67
S,med,6.65
S,med,7.99
S,med,6.72
S,med,5.8
S,med,11.94
S,med,11.71
S,med,11.67
S,med,10.28
S,med,11.24
SE,high,8.48
SE,high,6.63
SE,high,10.07
SE,high,12.19
SE,high,12.14
SE,high,12.8
SE,high,6.79
SE,high,7.86
SE,high,7.91
SE,high,12.9
SE,high,11.56
SE,high,7.65
SE,high,7.04
SE,high,7
SE,high,12.73
SE,low,7.79
SE,low,7.81
SE,low,7.49
SE,low,6.44
SE,low,8.22
SE,low,9.32
SE,low,7.72
SE,low,7.75
SE,low,8.74
SE,low,6.93
SE,low,9.13
SE,low,8.29
SE,low,6.72
SE,low,7.51
SE,low,6.1
SE,med,7.27
SE,med,5.92
SE,med,5.94
SE,med,5.95
SE,med,7.38
SE,med,7.69
SE,med,6.66
SE,med,9.1
SE,med,8.15
SE,med,9.8
SE,med,5.9
SE,med,6.92
SE,med,7.13
SE,med,7.83
SE,med,5.92
W,high,10.23
W,high,6.97
W,high,11.94
W,high,8.15
W,high,9.09
W,high,10.23
W,high,9.31
W,high,11.43
W,high,10.42
W,high,7.73
W,high,11.39
W,high,9.9
W,high,6.75
W,high,10.76
W,high,9.75
W,low,7.84
W,low,7
W,low,7.66
W,low,5.47
W,low,10.87
W,low,8.2
W,low,10.78
W,low,7.56
W,low,6.14
W,low,8.11
W,low,6.82
W,low,9.88
W,low,6.88
W,low,8.39
W,low,8.31
W,med,7.87
W,med,6.97
W,med,10.28
W,med,7.48
W,med,8.51
W,med,9.23
W,med,7.7
W,med,10.02
W,med,7.5
W,med,4.95
W,med,9.51
W,med,6.97
W,med,8.7
W,med,8.06
W,med,5.56
