DENSITY,SEASON,EGGS
8,spring,2.875
8,spring,2.625
8,spring,1.75
8,spring,3.1625
8,spring,2.8875
8,spring,1.925
8,spring,2.5875
8,spring,2.3625
8,spring,1.575
8,summer,2.125
8,summer,1.5
8,summer,1.875
8,summer,2.3375
8,summer,1.65
8,summer,2.0625
8,summer,1.9125
8,summer,1.35
8,summer,1.6875
8,spring,2.995
8,spring,2.745
8,spring,1.87
8,spring,3.2825
8,spring,3.0075
8,spring,2.045
8,spring,2.7075
8,spring,2.4825
8,spring,1.695
8,summer,2.245
8,summer,1.62
8,summer,1.995
8,summer,2.4575
8,summer,1.77
8,summer,2.1825
8,summer,2.0325
8,summer,1.47
8,summer,1.8075
15,spring,2.6
15,spring,1.866
15,spring,2.066
15,spring,2.86
15,spring,2.0526
15,spring,2.2726
15,spring,2.34
15,spring,1.6794
15,spring,1.8594
15,summer,0.867
15,summer,0.933
15,summer,1.733
15,summer,0.9537
15,summer,1.0263
15,summer,1.9063
15,summer,0.7803
15,summer,0.8397
15,summer,1.5597
15,spring,2.72
15,spring,1.986
15,spring,2.186
15,spring,2.98
15,spring,2.1726
15,spring,2.3926
15,spring,2.46
15,spring,1.7994
15,spring,1.9794
15,summer,0.987
15,summer,1.053
15,summer,1.853
15,summer,1.0737
15,summer,1.1463
15,summer,2.0263
15,summer,0.9003
15,summer,0.9597
15,summer,1.6797
30,spring,2.23
30,spring,1.466
30,spring,1
30,spring,2.453
30,spring,1.6126
30,spring,1.1
30,spring,2.007
30,spring,1.3194
30,spring,0.9
30,summer,1.267
30,summer,0.467
30,summer,0.7
30,summer,1.3937
30,summer,0.5137
30,summer,0.77
30,summer,1.1403
30,summer,0.4203
30,summer,0.63
30,spring,2.35
30,spring,1.586
30,spring,1.12
30,spring,2.573
30,spring,1.7326
30,spring,1.22
30,spring,2.127
30,spring,1.4394
30,spring,1.02
30,summer,1.387
30,summer,0.587
30,summer,0.82
30,summer,1.5137
30,summer,0.6337
30,summer,0.89
30,summer,1.2603
30,summer,0.5403
30,summer,0.75
45,spring,1.4
45,spring,1.022
45,spring,1.177
45,spring,1.54
45,spring,1.1242
45,spring,1.2947
45,spring,1.26
45,spring,0.9198
45,spring,1.0593
45,summer,0.711
45,summer,0.356
45,summer,0.711
45,summer,0.7821
45,summer,0.3916
45,summer,0.7821
45,summer,0.6399
45,summer,0.3204
45,summer,0.6399
45,spring,1.52
45,spring,1.142
45,spring,1.297
45,spring,1.66
45,spring,1.2442
45,spring,1.4147
45,spring,1.38
45,spring,1.0398
45,spring,1.1793
45,summer,0.831
45,summer,0.476
45,summer,0.831
45,summer,0.9021
45,summer,0.5116
45,summer,0.9021
45,summer,0.7599
45,summer,0.4404
45,summer,0.7599
